run_idx,model_type,latent_dim,hidden_dim,latent_scale,best_int_loss,final_int_loss,final_loss,epochs_ran,num_params
53,conv_then_linear,8,128,2,0.1841606270980835,0.21547070196151732,0.04178909526228905,5,87985
61,conv_then_linear,8,512,2,0.18524143749713898,0.19971552698135375,0.01061174842864275,5,1373353
113,linear_then_conv,8,64,2,0.18675145174503327,0.1902210701560974,0.023011407220363617,13,43345
139,mlp_only,2,256,8,0.1875459288597107,0.188969834356308,0.04867915077924728,12,155438
130,mlp_only,2,64,4,0.1889175367975235,0.19324198660373687,0.06535473712205887,11,39086
134,mlp_only,2,128,4,0.18982405113220216,0.21657714319229127,0.06562335059881211,8,77870
143,mlp_only,2,512,8,0.19201016959667205,0.19201016959667205,0.03847887962579727,20,310574
121,linear_then_conv,8,256,2,0.20061783942222594,0.20798496011734008,0.01765601584017277,8,254361
125,linear_then_conv,8,512,2,0.20399339901447297,0.21183684712409973,0.012008362176418305,5,852777
2,conv_then_linear,2,64,4,0.207643550696373,0.22996443096160887,0.08178714088916779,7,45099
181,mlp_only,8,128,2,0.2080746942424774,0.21379241802692414,0.024477203532457352,12,79412
74,linear_then_conv,2,256,4,0.20969398344993592,0.2330342514228821,0.06361036699533462,5,251283
66,linear_then_conv,2,64,4,0.20975696473121644,0.22704394110679627,0.0699264253950119,8,42571
185,mlp_only,8,256,2,0.21517750198364258,0.21719295620918275,0.015863334051668645,12,158516
173,mlp_only,6,512,2,0.22106826008796693,0.22769351806163787,0.01901504817843437,8,314674
189,mlp_only,8,512,2,0.22200554744720458,0.22752375097751618,0.016021630442738532,6,316724
109,linear_then_conv,6,512,2,0.2259101556444168,0.22642583282470702,0.008102421061098576,18,850727
177,mlp_only,8,64,2,0.22953426583766937,0.23020011190891265,0.053313144527673724,7,39860
138,mlp_only,2,256,4,0.23066443853378296,0.23256668374538422,0.04397798389196396,20,155438
169,mlp_only,6,256,2,0.23354641857624053,0.23963035141468048,0.027922210789322853,8,157490
